sim result, 0
total time, 121.207184
total energy, 7184.387695
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE
0,172.000000,-0.004311,0.006618,7.664318,0.000000,-3.510072,1.476177,1.338705,-0.630051,0.630051,0.007242,0.130468,0.000000
0,173.000000,-0.004340,0.006484,7.665262,0.000000,-3.533893,1.475928,1.332774,-0.660054,0.660054,0.007587,0.130458,0.000000
0,174.000000,-0.004369,0.006349,7.666252,0.000000,-3.557714,1.475709,1.326970,-0.689898,0.689898,0.007930,0.130460,0.000000
0,175.000000,-0.004399,0.006215,7.667287,0.000000,-3.581536,1.475520,1.321292,-0.719585,0.719585,0.008271,0.130407,0.000000
0,176.000000,-0.004428,0.006080,7.668365,0.000000,-3.605357,1.475361,1.315742,-0.749116,0.749116,0.008611,0.130386,0.000000
0,177.000000,-0.004457,0.005945,7.669488,0.000000,-3.629178,1.475232,1.310318,-0.778491,0.778491,0.008948,0.130361,0.000000
0,178.000000,-0.004486,0.005811,7.670654,0.000000,-3.652999,1.475132,1.305020,-0.807709,0.807709,0.009284,0.130333,0.000000
0,179.000000,-0.004516,0.005676,7.671865,0.000000,-3.676820,1.475062,1.299849,-0.836771,0.836771,0.009618,0.130350,0.000000
0,180.000000,-0.004545,0.005541,7.673118,0.000000,-3.700642,1.475022,1.294804,-0.865677,0.865677,0.009950,0.130330,0.000000
0,181.000000,-0.004572,0.005411,7.674415,0.000000,-3.722241,1.475028,1.290050,-0.892025,0.892025,0.010253,0.130308,0.000000
0,182.000000,-0.004598,0.005281,7.675751,0.000000,-3.743841,1.475060,1.285414,-0.918228,0.918228,0.010554,0.130278,0.000000
0,183.000000,-0.004625,0.005151,7.677126,0.000000,-3.765440,1.475120,1.280895,-0.944287,0.944287,0.010854,0.130259,0.000000
1,184.000000,-0.004651,0.005020,7.678540,20.422783,-3.787040,1.475206,1.276494,-0.970201,21.392984,0.245896,0.129963,92.478928
1,185.000000,-0.004678,0.004890,7.710498,20.480345,-3.808640,1.487062,1.276905,-0.979534,21.459879,0.246665,0.129426,22.538477
1,186.000000,-0.004704,0.004760,7.742423,20.537848,-3.830239,1.498962,1.277317,-0.988822,21.526669,0.247433,0.128893,22.597755
1,187.000000,-0.004731,0.004630,7.774315,20.595293,-3.851839,1.510905,1.277736,-0.998060,21.593353,0.248199,0.128366,22.657230
1,188.000000,-0.004757,0.004499,7.806175,20.652679,-3.873439,1.522891,1.278163,-1.007246,21.659925,0.248965,0.127843,22.716496
1,189.000000,-0.004784,0.004369,7.838004,20.710009,-3.895038,1.534922,1.278604,-1.016374,21.726383,0.249729,0.127325,22.775841
